"taxonID","mode_life"
178972,"pelagic_surface"
126280,"pelagic"
371901,"NOT_FOUND"
480246,"benthic"
212186,"NOT_FOUND"
506001,"benthic"
126278,"demersal"
273836,"NOT_FOUND"
126834,"pelagic"
626081,"NOT_FOUND"
218589,"NOT_FOUND"
127159,"demersal"
126976,"NOT_FOUND"
397139,"benthic"
397041,"benthic"
1061762,"benthic"
127007,"NOT_FOUND"
1042832,"demersal"
145935,"benthic"
210371,"benthic"
107107,"benthic"
863082,"benthic"
281225,"NOT_FOUND"
1509599,"pelagic"
1429769,"benthic"
282738,"demersal"
367822,"benthic"
504360,"benthic"
127012,"demersal"
181316,"benthic"
218632,"demersal"
127045,"NOT_FOUND"
218218,"NOT_FOUND"
445357,"benthic"
397160,"benthic"
127061,"NOT_FOUND"
126296,"demersal"
246388,"benthic"
140483,"benthic"
394429,"benthic"
273964,"NOT_FOUND"
107380,"benthic"
145703,"NOT_FOUND"
219720,"pelagic"
273823,"pelagic"
218621,"benthic"
273962,"NOT_FOUND"
127062,"NOT_FOUND"
207899,"benthic"
126819,"pelagic"
272027,"demersal"
127010,"demersal"
107112,"benthic"
107613,"benthic"
151523,"demersal"
127052,"pelagic"
140389,"benthic"
393904,"benthic"
145700,"NOT_FOUND"
231749,"benthic"
159231,"NOT_FOUND"
1061754,"benthic"
127059,"NOT_FOUND"
156817,"benthic"
382891,"benthic"
145721,"benthic"
140059,"benthic"
141936,"benthic"
159652,"NOT_FOUND"
126430,"NOT_FOUND"
218204,"benthic"
127060,"benthic"
141919,"benthic"
127053,"demersal"
231750,"benthic"
218429,"NOT_FOUND"
126818,"pelagic"
124316,"benthic"
232231,"benthic"
141424,"benthic"
273912,"NOT_FOUND"
140657,"benthic"
127054,"NOT_FOUND"
140733,"benthic"
126816,"pelagic"
126975,"demersal"
107350,"benthic"
144472,"benthic"
145716,"benthic"
207675,"benthic"
107616,"benthic"
127063,"NOT_FOUND"
141907,"benthic"
127180,"demersal"
140481,"benthic"
126803,"pelagic"
254569,"pelagic"
127183,"pelagic"
145086,"NOT_FOUND"
836033,"benthic"
100812,"benthic"
100859,"benthic"
100862,"benthic"
100946,"benthic"
100971,"benthic"
100987,"benthic"
101016,"benthic"
101017,"benthic"
1015919,"NOT_FOUND"
1017389,"demersal"
102000,"benthic"
1022158,"NOT_FOUND"
102281,"benthic"
1026118,"pelagic"
1026286,"NOT_FOUND"
1026357,"NOT_FOUND"
1026410,"NOT_FOUND"
1026605,"NOT_FOUND"
1027267,"NOT_FOUND"
102731,"NOT_FOUND"
103174,"benthic"
103407,"NOT_FOUND"
103732,"benthic"
104276,"pelagic_surface"
104431,"pelagic_surface"
104434,"pelagic_surface"
104468,"pelagic_surface"
104469,"pelagic_surface"
104494,"NOT_FOUND"
104503,"pelagic_surface"
104508,"pelagic_surface"
104509,"pelagic_mean"
104552,"pelagic_surface"
104597,"pelagic_surface"
104609,"pelagic_surface"
104616,"pelagic_surface"
104646,"pelagic_surface"
104651,"pelagic_surface"
104669,"pelagic_surface"
104673,"pelagic_surface"
1046830,"benthic"
104820,"pelagic_mean"
104878,"pelagic_surface"
104879,"pelagic_surface"
1056501,"NOT_FOUND"
1056509,"NOT_FOUND"
105801,"pelagic"
105819,"pelagic"
105825,"benthic"
105829,"NOT_FOUND"
105847,"pelagic"
105851,"demersal"
105856,"demersal"
105858,"pelagic"
105859,"NOT_FOUND"
105860,"benthic"
105899,"benthic"
105907,"NOT_FOUND"
105911,"NOT_FOUND"
105928,"demersal"
106210,"benthic"
106215,"benthic"
106274,"benthic"
106277,"pelagic"
106401,"pelagic_surface"
107086,"pelagic_mean"
107093,"pelagic_surface"
107097,"pelagic_surface"
107098,"pelagic_surface"
107100,"pelagic_surface"
107127,"pelagic_surface"
107138,"pelagic_surface"
107169,"benthic"
107190,"benthic"
107195,"benthic"
107197,"benthic"
107198,"benthic"
107248,"benthic"
107262,"benthic"
107321,"benthic"
107362,"benthic"
107381,"benthic"
107396,"benthic"
107414,"benthic"
107437,"benthic"
107456,"benthic"
107458,"benthic"
107459,"benthic"
1075013,"benthic"
107524,"benthic"
107534,"benthic"
107577,"benthic"
107582,"pelagic_mean"
107583,"pelagic_mean"
107600,"benthic"
107602,"pelagic_surface"
107605,"pelagic_mean"
107608,"benthic"
107611,"benthic"
107614,"benthic"
107705,"benthic"
107708,"benthic"
107721,"benthic"
109725,"benthic"
109745,"benthic"
109755,"NOT_FOUND"
109773,"NOT_FOUND"
109784,"NOT_FOUND"
109818,"NOT_FOUND"
109876,"NOT_FOUND"
109899,"NOT_FOUND"
109901,"NOT_FOUND"
109921,"NOT_FOUND"
110045,"NOT_FOUND"
110208,"NOT_FOUND"
110210,"NOT_FOUND"
110213,"NOT_FOUND"
110217,"pelagic"
110219,"pelagic"
110241,"NOT_FOUND"
110245,"NOT_FOUND"
110298,"NOT_FOUND"
110301,"benthic"
110321,"NOT_FOUND"
110363,"benthic"
110577,"benthic"
110601,"benthic"
111343,"benthic"
111351,"benthic"
112593,"benthic"
112704,"benthic"
112887,"benthic"
112890,"benthic"
112969,"benthic"
112972,"benthic"
113030,"benthic"
113047,"benthic"
113091,"benthic"
113160,"benthic"
113162,"benthic"
113334,"benthic"
113341,"benthic"
113433,"NOT_FOUND"
113434,"pelagic_surface"
113440,"NOT_FOUND"
113441,"NOT_FOUND"
113444,"NOT_FOUND"
113448,"NOT_FOUND"
113452,"NOT_FOUND"
113453,"benthic"
113454,"NOT_FOUND"
113458,"benthic"
113460,"pelagic_surface"
113461,"NOT_FOUND"
113462,"benthic"
113464,"NOT_FOUND"
113465,"NOT_FOUND"
113473,"benthic"
113474,"NOT_FOUND"
113477,"NOT_FOUND"
113564,"benthic"
113567,"benthic"
113773,"benthic"
113898,"benthic"
113974,"benthic"
114047,"benthic"
114298,"benthic"
115104,"NOT_FOUND"
115805,"pelagic_surface"
116382,"pelagic_surface"
117283,"benthic"
117368,"benthic"
117814,"benthic"
117942,"pelagic_surface"
117953,"benthic"
118613,"benthic"
118732,"benthic"
120216,"benthic"
123795,"benthic"
123803,"benthic"
123856,"benthic"
123920,"benthic"
123922,"benthic"
123945,"benthic"
123987,"benthic"
124095,"benthic"
124101,"benthic"
124201,"benthic"
124249,"benthic"
124257,"benthic"
124268,"benthic"
124332,"benthic"
124423,"benthic"
124427,"benthic"
124528,"benthic"
124892,"benthic"
125043,"benthic"
125161,"benthic"
125370,"benthic"
126283,"NOT_FOUND"
126285,"demersal"
126288,"NOT_FOUND"
126291,"pelagic"
126292,"pelagic"
126297,"demersal"
126298,"demersal"
126301,"demersal"
126303,"NOT_FOUND"
126304,"pelagic"
126305,"NOT_FOUND"
126306,"pelagic"
126307,"demersal"
126319,"benthic"
126322,"NOT_FOUND"
126326,"NOT_FOUND"
126327,"benthic"
126335,"demersal"
126339,"pelagic"
126342,"pelagic"
126344,"NOT_FOUND"
126347,"pelagic"
126348,"pelagic"
126353,"NOT_FOUND"
126357,"NOT_FOUND"
126359,"pelagic"
126362,"pelagic"
126367,"pelagic"
126368,"pelagic"
126372,"demersal"
126373,"NOT_FOUND"
126375,"NOT_FOUND"
126385,"pelagic"
126387,"NOT_FOUND"
